room_area,money,link,room_location_district,room_location_place,room_location_street
1室0厅1卫????35㎡,600,http://short.58.com/zd_p/cf3212f9-ddae-4c6b-9457-657e1a3c50a5/?target=fh-16-xgk_hvimob_84237075514010q-feykn&end=end,布吉周边,,
3室2厅2卫????90㎡,6800,http://short.58.com/zd_p/d5a71f3e-069d-49df-b602-869d3c41276c/?target=fh-16-xgk_hvimob_87466301603703q-feykn&end=end,蔡屋围,,
次卧(4室)????140㎡,700,http://short.58.com/zd_p/24411d01-31f5-4b91-955c-8d223de5dd28/?target=fh-16-xgk_ephv_84327867465337q-feykn&end=end,蔡屋围,供电南苑,
主卧(4室)????120㎡,980,http://short.58.com/zd_p/4d8e857f-a734-4a57-ae5a-ccf435b441fb/?target=fh-16-xgk_ephv_84548693987748q-feykn&end=end,蔡屋围,都市名园,
主卧(3室)????123㎡,500,http://sz.58.com/hezu/29760360852558x.shtml,车公庙,上沙花园,
(3室)????13㎡,500,http://sz.58.com/hezu/31140995304382x.shtml,翠竹,新岭山庄,
2室2厅1卫????100㎡,2500,http://sz.58.com/zufang/31129854498496x.shtml,大浪,可乐园,距离4号线龙胜站地铁站2520米                                    
3室2厅1卫????98㎡,2800,http://sz.58.com/zufang/31106886965953x.shtml,大浪,赤岭花园,距离4号线龙胜站地铁站820米                                    
1室0厅1卫????20㎡,1100,http://sz.58.com/zufang/31017894035906x.shtml,福永,,
1室0厅1卫????25㎡,1488,http://short.58.com/zd_p/c1facdeb-a26f-43a9-b330-bf3fcef0bdc8/?target=fh-16-xgk_hvimob_87746604756305q-feykn&end=end,福永,,
1室0厅1卫????30㎡,600,http://short.58.com/zd_p/14f44f1d-1384-41ab-b422-860b124db11d/?target=fh-16-xgk_hvimob_87772200399896q-feykn&end=end,福永,,
1室0厅1卫????32㎡,600,http://short.58.com/zd_p/41f70934-680f-433d-a03e-cecabb87d6f2/?target=fh-16-xgk_hvimob_84213197933033q-feykn&end=end,福永,,
1室0厅1卫????38㎡,1980,http://short.58.com/zd_p/3ec4b784-620c-49ea-9e9b-0029b96e66d8/?target=fh-16-xgk_hvimob_87740740967894q-feykn&end=end,福永,,
3室2厅1卫????120㎡,4000,http://sz.58.com/zufang/31138902883252x.shtml,福永,御林山景,距离11号线塘尾站地铁站2739米                                    
次卧(4室)????15㎡,2000,http://short.58.com/zd_p/fcc700d6-7b06-42b3-94cd-3c27707fca45/?target=fh-16-xgk_ephv_84255390523901q-feykn&end=end,购物公园,新光活力小区,
主卧(4室)????22㎡,2400,http://short.58.com/zd_p/c95fb4f9-404a-4c75-ab0f-15252084eec2/?target=fh-16-xgk_ephv_84283058111540q-feykn&end=end,购物公园,新光活力小区,
1室1厅1卫????52㎡,3500,http://sz.58.com/zufang/31129016423473x.shtml,桂庙路口,创世纪滨海花园,距离11号线南山站地铁站620米                                    
主卧(4室)????145㎡,700,http://short.58.com/zd_p/c0168a6a-ba97-496a-8d9c-d944892c48b7/?target=fh-16-xgk_ephv_87747241746825q-feykn&end=end,国贸,佳宁娜友谊广场,
1室0厅1卫????30㎡,750,http://short.58.com/zd_p/3e1f9886-0286-4cc6-9326-f132845bed39/?target=fh-16-xgk_hvimob_32112841042811q-feykn&end=end,横岗,志健时代广场,距离3号线横岗站地铁站413米                                    
1室1厅1卫????25㎡,1580,http://short.58.com/zd_p/0aabb778-aa83-4320-8f40-9dfda06462fc/?target=fh-16-xgk_hvimob_84490038946735q-feykn&end=end,后海,,
3室1厅1卫????98㎡,6300,http://sz.58.com/zufang/30986490992583x.shtml,后海,南油生活B区,距离2号线登良站地铁站865米                                    
4室2厅3卫????181.78㎡,22000,http://sz.58.com/zufang/31064836140604x.shtml,后海,澳城花园(南区),距离2号线湾厦站地铁站607米                                    
次卧(2室)????20㎡,2500,http://short.58.com/zd_p/e1bac335-51a3-406b-832c-da3c6fe541a3/?target=fh-16-xgk_ephv_32371036011936q-feykn&end=end,后海,东滨华苑,
1室1厅1卫????38㎡,2980,http://short.58.com/zd_p/93652334-efa1-48a6-a4d1-20a4d30359a3/?target=fh-16-xgk_hvimob_87408923982182q-feykn&end=end,华强北,,
2室2厅1卫????78㎡,7000,http://sz.58.com/zufang/31141780449856x.shtml,华强北,南华花园,距离1号线华强路站地铁站544米                                    
主卧(4室)????16㎡,1590,http://sz.58.com/hezu/31141172026029x.shtml,华强北,华富村西区(黄木岗西区),
主卧(3室)????25㎡,1680,http://short.58.com/zd_p/2142d9a6-c425-4d87-a283-201821262fcc/?target=fh-16-xgk_ephv_87746116200038q-feykn&end=end,华侨城,中海深圳湾畔花园,
3室2厅2卫????113㎡,10000,http://sz.58.com/zufang/31117825108279x.shtml,皇岗,云顶翠峰(二期),距离7号线皇岗村站地铁站559米                                    
2室1厅1卫????61㎡,6200,http://sz.58.com/zufang/30954017786039x.shtml,黄贝岭,东方华都,距离3号线翠竹站地铁站576米                                    
2室2厅1卫????73㎡,3300,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEK2dUiBSFsGnmGRxXUf95D8gT9WSjAhmNgbnF-1S5EYjqhx0zOEvLd3hL2WHrTnZui5gPnRg_foeLpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F4xufLoTQ9fG9bnV2k8E_k-VIJ057leLrdqDMybbOabIFN_M97Hi9cPyCCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=17076218&apptype=0&psid=117087464197040075428830033&entinfo=31121741759410_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,康桥,中城康桥花园(二期),距离3号线丹竹头站地铁站492米                                    
1室0厅1卫????40㎡,5200,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEA5CJ-GjcgRU5_YNyC-iiosgT9WSjAhmNhTPVyXaBRriuI2CFU3hU9nhL2WHrTnZupqCYqaK4sjuLpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F4w8B6Me9BbYoVdBriht3AlBIJ057leLrdqDMybbOabIFq3GWtHa2gJqCCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=17162150&apptype=0&psid=117087464197040075428830033&entinfo=31140903121730_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,科技园,大冲新城花园,距离1号线高新园地铁站278米                                    
1室1厅1卫????46㎡,3900,http://short.58.com/zd_p/a00fd552-76ae-49c5-855c-c3a4628bb329/?target=fh-16-xgk_hvimob_87749665205240q-feykn&end=end,科技园,,
2室1厅1卫????45㎡,3300,http://short.58.com/zd_p/d33b168b-42c5-4d02-8081-d60522536e16/?target=fh-16-xgk_hvimob_84633822145216q-feykn&end=end,科技园,,
次卧(3室)????20㎡,1600,http://short.58.com/zd_p/d04c0b4d-6454-48b2-8e7a-0134434b6fc8/?target=fh-16-xgk_ephv_87741663851363q-feykn&end=end,科技园,深南花园,
1室0厅1卫????50㎡,550,http://short.58.com/zd_p/5031026b-d5a3-46de-959e-dd1d52076038/?target=fh-16-xgk_hvimob_84972281340426q-feykn&end=end,龙岗,,
1室0厅1卫????19㎡,399,http://short.58.com/zd_p/7129aa4f-1570-4f08-9277-0bc427d8d9e1/?target=fh-16-xgk_hvimob_84517887895489q-feykn&end=end,龙岗中心城,,
1室0厅1卫????29㎡,400,http://short.58.com/zd_p/98e333d5-26c5-4732-b822-eff03647771c/?target=fh-16-xgk_hvimob_87757283364625q-feykn&end=end,龙岗中心城,,
1室1厅1卫????30㎡,1580,http://short.58.com/zd_p/ddd82685-cf93-4831-a5f6-e3fc905fa52e/?target=fh-16-xgk_hvimob_84001051217284q-feykn&end=end,龙岗中心城,,
2室1厅1卫????80㎡,1100,http://short.58.com/zd_p/28407cda-e568-48e6-8e2d-8118cf4a061d/?target=fh-16-xgk_hvimob_84669601833197q-feykn&end=end,龙岗中心城,,
4室2厅2卫????143㎡,4800,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tExfMaVs5HoTnpyjCDwpO94sgT9WSjAhmNW5zwZFeX_KPnD9UVde8rcnhL2WHrTnZud5oiDXy3yqaLpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F4yqGKL9YPS5XSngquRdeArJIJ057leLrdqDMybbOabIFgjIVqRqsudmCCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=16740560&apptype=0&psid=117087464197040075428830033&entinfo=31066183272654_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,龙岗中心城,万象天成,距离3号线龙城广场站地铁站828米                                    
次卧(3室)????20㎡,1000,http://short.58.com/zd_p/2759f20e-5a70-4c05-b5e6-772c6405209f/?target=fh-16-xgk_ephv_84822833301175q-feykn&end=end,龙岗中心城,金地龙城中央,
1室0厅1卫????25㎡,950,http://sz.58.com/zufang/31141942619962x.shtml,龙华,,
3室2厅2卫????97.25㎡,4500,http://sz.58.com/zufang/31140445704771x.shtml,龙华,大信花园,距离4号线龙华站地铁站327米                                    
1室1厅1卫????40㎡,3680,http://sz.58.com/zufang/31110400563400x.shtml,龙华新区,鑫茂公寓,距离5号线民治站地铁站906米                                    
2室1厅1卫????65㎡,4600,http://sz.58.com/zufang/31131274169907x.shtml,龙华中心区,金地上塘道(一期),距离4号线上塘站地铁站921米                                    
2室2厅1卫????75㎡,5000,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEDQT3TR4ylbfKUlZrFh81gMgT9WSjAhmNFEYooeAs0QocFO_z18-Qh3hL2WHrTnZu2NbRW3uOYHtuLoFHzcEDgGbQFBJxIZMOiVJI6ueRb3ypeB-UK1L3QbhcROUDSZVhSS7I7iB6IcNyukPmMkDu62eFWvNPmTtZsB5Nwt_gk_aOL46dYK_qEFT-1iM0Ga7-xOpMEEL_3pmVTLJcFlehhqoj08mTC5as&local=4&pubid=16785811&apptype=0&psid=117087464197040075428830033&entinfo=31074537002318_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,龙华中心区,幸福城(三期),距离4号线清湖站地铁站246米                                    
3室2厅2卫????99㎡,7000,http://short.58.com/zd_p/dd6b9d3b-eb0e-41e9-8e66-637065513cf6/?target=fh-16-xgk_hvimob_87409869468739q-feykn&end=end,龙华中心区,润达圆庭,距离4号线红山站地铁站499米                                    
2室2厅1卫????78㎡,7000,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEHvv8lWKkIOcgZN6dpK3RJcgT9WSjAhmNfCqQBB6aH8NxQF1_qaGDOnhL2WHrTnZu0NfELW6jUzuLpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F4-LC1gfGdAEqU18d_sl8q5hIJ057leLrdqDMybbOabIFHI6CxN_zGv2CCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=16488399&apptype=0&psid=117087464197040075428830033&entinfo=31020962628028_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,梅林关口,星河盛世,距离4号线白石龙站地铁站481米                                    
主卧(1室)????20㎡,2200,http://short.58.com/zd_p/812567d8-3325-4a81-a3b7-5db17cc9fc09/?target=fh-16-xgk_ephv_87421993360531q-feykn&end=end,梅林关口,润达圆庭,
主卧(3室)????100㎡,7000,http://short.58.com/zd_p/b6c0fa5f-4857-490b-8ef9-121e3f32da9e/?target=fh-16-xgk_ephv_87749975117814q-feykn&end=end,梅林关口,润达圆庭,
2室1厅1卫????60㎡,2400,http://short.58.com/zd_p/eae465c7-bb89-43e4-b635-3b72e5a67f09/?target=fh-16-xgk_hvimob_87788545493368q-feykn&end=end,民治,,
3室2厅2卫????110㎡,5800,http://short.58.com/zd_p/fb522ec4-ab22-45d9-a5f4-e142d0c88c16/?target=fh-16-xgk_hvimob_87499845934610q-feykn&end=end,民治,金地梅陇镇(一期),距离4号线红山站地铁站1376米                                    
3室2厅2卫????90㎡,6500,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE_cHd2bYY8NbNYDnkBDXMf8gT9WSjAhmN9mVfZgSarEXyG5Dv3fem5nhL2WHrTnZua7-Fn6R69kOLpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F4wBWu6-cTu8rbsN_b-TeYGdIJ057leLrdqDMybbOabIFHiDf8xv7SeaCCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=17154797&apptype=0&psid=117087464197040075428830033&entinfo=31089840797354_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,民治,莱蒙水榭春天六期B区,距离4号线红山站地铁站508米                                    
主卧(2室)????85㎡,6300,http://sz.58.com/hezu/30976905370181x.shtml,民治,万科金域华府,
3室2厅1卫????100㎡,5000,http://short.58.com/zd_p/a8050b01-d805-469d-98fe-03fce1b4baac/?target=fh-16-xgk_hvimob_87749150330581q-feykn&end=end,木棉湾,文雅豪庭,距离3号线木棉湾站地铁站674米                                    
1室0厅0卫????40㎡,1500,http://sz.58.com/zufang/31032530261943x.shtml,南山,,
2室1厅1卫????61㎡,5500,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEo8M8d5L-2MZPzzCxk022RMgT9WSjAhmNY21WILECDOxqwLF-2MXPynhL2WHrTnZuqfJthy_YSXOLpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F42DPakNLGjcTmSK25luNzj5IJ057leLrdqDMybbOabIFRzmRWSxG-BiCCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=17122281&apptype=0&psid=117087464197040075428830033&entinfo=31131272949065_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,南头,英达钰龙园,距离1号线桃园站地铁站875米                                    
主卧(1室)????14㎡,1000,http://short.58.com/zd_p/079aa7d8-6a4c-4500-8b3f-342c905a2583/?target=fh-16-xgk_ephv_36260630645204q-feykn&end=end,南头,桃花园,
1室1厅1卫????28㎡,980,http://short.58.com/zd_p/d6826d18-1681-44bd-ab04-c79ce3917acc/?target=fh-16-xgk_hvimob_84990636120044q-feykn&end=end,平湖,,
1室1厅1卫????30㎡,1800,http://short.58.com/zd_p/7aae366c-923c-421a-99f5-521bd4e3a665/?target=fh-16-xgk_hvimob_87782024564887q-feykn&end=end,平湖,,
1室1厅1卫????38㎡,850,http://short.58.com/zd_p/93920634-e664-484f-b356-56cd98fa5a29/?target=fh-16-xgk_hvimob_87490530840120q-feykn&end=end,平湖,熙璟城,
2室2厅1卫????80㎡,2800,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEdtqkZ0awPlzGdPDfEvhPE8gT9WSjAhmN7buOc1oN8ZkTsgbyv6D9r3hL2WHrTnZuGH1kbAnkLxzq7pcP3cAi1WbQFBJxIZMOiVJI6ueRb3ypeB-UK1L3QS-YlT-CbXRNiDDb1-v25OpyukPmMkDu62eFWvNPmTtZFVyAhE7VUxiOL46dYK_qEFT-1iM0Ga7-xOpMEEL_3pmVTLJcFlehhqoj08mTC5as&local=4&pubid=17011833&apptype=0&psid=117087464197040075428830033&entinfo=31065249973046_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,平湖,佳兆业茗萃园(三期),
3室2厅1卫????88㎡,3200,http://sz.58.com/zufang/31118328461353x.shtml,平湖,佳兆业茗萃园(二期),
2室1厅1卫????75㎡,6000,http://short.58.com/zd_p/89603b45-7345-499a-bff6-0eafa2398ff7/?target=fh-16-xgk_hvimob_87491027637866q-feykn&end=end,前海,绿海名都,距离1号线大新站地铁站364米                                    
2室2厅1卫????60㎡,4800,http://short.58.com/zd_p/c1ab4c1a-e9c8-44df-b4c3-c48c2477414e/?target=fh-16-xgk_hvimob_32680191388463q-feykn&end=end,前海,,
3室2厅2卫????113㎡,7200,http://sz.58.com/zufang/31141944064306x.shtml,前海,星海名城(一期),距离1号线大新站地铁站488米                                    
1室0厅1卫????20㎡,700,http://short.58.com/zd_p/a1eaaa19-0323-41cf-9ab3-f0ae2ffa027e/?target=fh-16-xgk_hvimob_30723562060515q-feykn&end=end,沙井,景盛豪庭,距离11号线马安山站地铁站1304米                                    
1室0厅1卫????30㎡,600,http://short.58.com/zd_p/4a38a68d-bc49-4f73-b841-175e8b6db6f9/?target=fh-16-xgk_hvimob_87474423369956q-feykn&end=end,沙井,,
1室0厅1卫????33㎡,600,http://short.58.com/zd_p/b3c595bf-3b8f-4293-a6d1-f1263f00688e/?target=fh-16-xgk_hvimob_87474731503195q-feykn&end=end,沙井,,
1室1厅1卫????38㎡,1300,http://short.58.com/zd_p/c4f47837-8cc5-47c8-b037-06442c65679f/?target=fh-16-xgk_hvimob_87746071726448q-feykn&end=end,沙井,,
1室1厅1卫????45㎡,4800,http://sz.58.com/zufang/30699923961037x.shtml,沙尾,绿景花园(二期),距离7号线沙尾站地铁站120米                                    
1室0厅1卫????10㎡,1100,http://short.58.com/zd_p/5bdbfce8-2366-4524-aa2c-f7c00e5ff718/?target=fh-16-xgk_hvimob_36145730226180q-feykn&end=end,上沙,,
4室2厅2卫????178㎡,25000,http://short.58.com/zd_p/3a0bc4f1-6ddb-4b7f-9dae-6bbdba30c9be/?target=fh-16-xgk_hvimob_87408266643084q-feykn&end=end,蛇口,伍兹公寓,距离2号线蛇口港站地铁站450米                                    
3室2厅2卫????86㎡,4700,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tEKlU4EpkCnYrl3wl28qDP08gT9WSjAhmNYzXZaNzwhvbUbcvQ9dQ5T3hL2WHrTnZu2NbRW3uOYHvJd6HOrOZj32bQFBJxIZMOiVJI6ueRb3ypeB-UK1L3QbtDzYk_FrMMSGPdeJ2K17NyukPmMkDu62eFWvNPmTtZTLoTpaMX_EeOL46dYK_qEFT-1iM0Ga7-xOpMEEL_3pmVTLJcFlehhqoj08mTC5as&local=4&pubid=16430203&apptype=0&psid=117087464197040075428830033&entinfo=31012359066045_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,深圳北站,皓月花园,距离5号线民治站地铁站315米                                    
主卧(4室)????9㎡,1390,http://short.58.com/zd_p/a388297d-7505-4200-b238-6427c96686b1/?target=fh-16-xgk_ephv_87458219578175q-feykn&end=end,深圳周边,翠竹苑,
1室0厅1卫????35㎡,1280,http://short.58.com/zd_p/f1568a34-2f49-45a3-8f60-ca8b2f618fec/?target=fh-16-xgk_hvimob_87491210889134q-feykn&end=end,石岩,,
3室1厅1卫????88㎡,800,http://sz.58.com/zufang/30924359545422x.shtml,石岩,马山头村,
1室0厅1卫????25㎡,600,http://short.58.com/zd_p/05dcfc6e-193e-454a-810b-a16df7dbe220/?target=fh-16-xgk_hvimob_84606009929009q-feykn&end=end,松岗,,
主卧(1室)????24㎡,1550,http://short.58.com/zd_p/34b04f90-67dd-495d-a815-52c9f7e8c11e/?target=fh-16-xgk_ephv_87420656927091q-feykn&end=end,笋岗,春笋楼,
2室2厅1卫????79㎡,4400,http://sz.58.com/zufang/31134192330190x.shtml,桃源居,桃源居13区,距离1号线固戌站地铁站2597米                                    
1室0厅1卫????28㎡,2280,http://short.58.com/zd_p/4afbe76f-9cd4-473d-876f-5d5ce085d523/?target=fh-16-xgk_hvimob_32071537410947q-feykn&end=end,西丽,,
1室1厅1卫????42㎡,1850,http://short.58.com/zd_p/db520706-0814-4900-b5cc-391d4639ede0/?target=fh-16-xgk_hvimob_87746968641692q-feykn&end=end,西丽,,
9室5厅8卫????600㎡,55000,http://sz.58.com/zufang/31076239219015x.shtml,西丽,西丽山庄,距离7号线西丽湖站地铁站464米                                    
次卧(4室)????10㎡,1500,http://sz.58.com/hezu/25195900721714x.shtml,西丽,,
主卧(3室)????102㎡,5500,http://short.58.com/zd_p/e7c88e71-5ec9-46cb-9f23-b156ae5ad88b/?target=fh-16-xgk_ephv_87499250325546q-feykn&end=end,西丽,,
1室0厅1卫????26㎡,850,http://short.58.com/zd_p/1323e0f3-eb7e-4024-8f13-3f8349e6c269/?target=fh-16-xgk_hvimob_87454689956524q-feykn&end=end,西乡,,
1室0厅1卫????30㎡,600,http://short.58.com/zd_p/4452f645-d9ae-47ea-b263-36a33641a512/?target=fh-16-xgk_hvimob_87421654528140q-feykn&end=end,西乡,,
1室1厅1卫????35㎡,1980,http://short.58.com/zd_p/ee0dd0f3-042e-4ef5-b857-3298cd390a76/?target=fh-16-xgk_hvimob_84549426083503q-feykn&end=end,西乡,,
1室1厅1卫????35㎡,2180,http://short.58.com/zd_p/5a8cab23-5378-4051-94c4-28669747a018/?target=fh-16-xgk_hvimob_36892851767448q-feykn&end=end,西乡,,
1室1厅1卫????35㎡,2180,http://short.58.com/zd_p/ef372efd-4127-4236-bf80-e071124d4832/?target=fh-16-xgk_hvimob_87413704490175q-feykn&end=end,西乡,,
1室1厅1卫????35㎡,2600,http://sz.58.com/zufang/30266713631948x.shtml,西乡,绿海名苑,距离1号线西乡站地铁站451米                                    
2室2厅1卫????70㎡,3500,http://sz.58.com/zufang/30531850050742x.shtml,西乡,共乐华庭,距离1号线西乡站地铁站541米                                    
3室2厅2卫????89㎡,5100,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tE_29Z7F4GHmeL5VOiIXFgMsgT9WSjAhmNZmODJ36uuF8mUd4frlBll6ICd9gY2ytlaNLqOHj1G2sz6GTTEn-9eIKSTSyrafNfZaBMrEoA-ijgP65LWWuNPf9vWexeBh5n_pRtKKMD2ymgKQ0eYVkaR_GGRNvaJU8EZsgKNNoyQUkl5A6UFjXZ2AKR9Uszn6PenEl09QT2CN0g_Y1lrjSJRQ&local=4&pubid=17069291&apptype=0&psid=117087464197040075428830033&entinfo=31110040427466_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,西乡,招商果岭花园,距离1号线西乡站地铁站1044米                                    
4室2厅2卫????119㎡,6000,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkeXUZDc90OcaCmJeAYtI2tECewUzbwLJKDVgqsryUDCLcgT9WSjAhmNZrv3kzrWVv_Gv7fDL4rpIHhL2WHrTnZuQNiXRbkEU3iLpHwm0RlWlocAMCALJ1RVcbhHJ_Spr6WLIrtUgl9F44DIu4N9d8zpC1tNXp5kRB9IJ057leLrdqDMybbOabIFIYUa5TkTAyWCCTzo_2_RRRt1FlSoDe_6_yJs_gtc8uFneYvi0rn26g&local=4&pubid=17027311&apptype=0&psid=117087464197040075428830033&entinfo=31107402391101_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,西乡,金港华庭,距离1号线西乡站地铁站724米                                    
次卧(1室)????15㎡,1280,http://short.58.com/zd_p/4ae9003e-1c34-4a94-b2d6-2c0daa691184/?target=fh-16-xgk_ephv_84524772273176q-feykn&end=end,西乡,碧海湾花园,
次卧(4室)????8㎡,1760,http://jxjump.58.com/service?target=FCADVFdVGJSbUnkf2ayqH_E_R9RLX94M3jVfo_9eUSFfc_Xz5pCLUykLEzcf-5NvxKrSqOMxaVG_lG556KSjONpUimoQQ7WdQBbOrRkWYiAzWeJhuLoFHzcEDgGbQFBJxIZMOiVJI6ueRb3x3RaKjcjYRkJg8elwOfLI6fbNCOOBkMOCgKQ0eYVkaR_GGRNvaJU8EZsgKNNoyQUkl5A6UFjXZ2AKR9Uszn6PenEl09QT2CN0g_Y1lrjSJRQ&local=4&pubid=17161192&apptype=0&psid=117087464197040075428830033&entinfo=31140704529338_0&cookie=|||&fzbref=0&key=?ms=busitime^desc,西乡,,
主卧(1室)????26㎡,1099,http://sz.58.com/hezu/31141942844354x.shtml,西乡,,
主卧(1室)????32㎡,800,http://short.58.com/zd_p/02f39656-c27f-4208-bbb6-0fa559167853/?target=fh-16-xgk_ephv_87784258518984q-feykn&end=end,西乡,,
1室0厅1卫????25㎡,1800,http://short.58.com/zd_p/7f0c32c6-06d7-49b4-aaeb-aa54b1e8c651/?target=fh-16-xgk_hvimob_84602510130056q-feykn&end=end,下水径,下水径新村,距离5号线下水径站地铁站447米                                    
1室0厅1卫????23㎡,1300,http://short.58.com/zd_p/4a8e7947-0b54-47bd-a99e-49df78427ffb/?target=fh-16-xgk_hvimob_87465561917782q-feykn&end=end,香蜜湖,竹园小区,距离7号线农林站地铁站326米                                    
主卧(4室)????15㎡,1590,http://sz.58.com/hezu/31140487827758x.shtml,香蜜湖,香蜜时代,
1室0厅1卫????25㎡,2080,http://short.58.com/zd_p/7cf8608a-e8d4-41f1-a535-252ccc9520a9/?target=fh-16-xgk_hvimob_39553644330134q-feykn&end=end,新安,,
1室0厅1卫????26㎡,1800,http://short.58.com/zd_p/b6dd0f4f-7d60-420d-a47c-7352f1747fc4/?target=fh-16-xgk_hvimob_87429603513183q-feykn&end=end,新安,西城品阁,距离5号线灵芝站地铁站1478米                                    
